Parameters,R,T,n,n_boxed,n_exc,logged,strict,run_id
34M,1,0.93804187,5001,0,0,0.0065986802639472,0.0,8n3zetho
34M,1,1.0,5001,0,0,0.013997200559888,0.0,qoj2xbhv
34M,1,1.29154967,5001,0,0,0.0135972805438912,0.0,zmwatvry
34M,1,1.5,5001,0,0,0.0093981203759248,0.0,2qw4y7w8
34M,3,0.0,5001,17,0,0.0025994801039792,0.0,d9pe6sxq
34M,3,0.1,5001,31,0,0.0103979204159168,0.0003999200159968,dhez5g9m
34M,3,0.1778,5001,574,0,0.0113977204559088,0.00499900019996,mxyil56p
34M,3,0.3162,5001,1258,0,0.007998400319936,0.006998600279944,36jz6eta
34M,3,0.5623,5001,1667,0,0.0027994401119776,0.0015996800639872,ko0jltzz
34M,3,0.75,5001,766,0,0.0055988802239552,0.0011997600479904,0em8db96
34M,3,0.93804187,5001,20,0,0.0083983203359328,0.0,esc0bjbc
34M,3,1.0,5001,0,0,0.0123975204959008,0.0,t5r50uhk
34M,3,1.29154967,5001,0,0,0.010997800439912,0.0,sjbh4tgg
34M,3,1.5,5001,0,0,0.018996200759848,0.0,q9bqv4r3
34M,10,0.0,5001,109,0,0.0075984803039392,0.0005998800239952,3ehd21gb
34M,10,0.1,5001,156,0,0.0113977204559088,0.0015996800639872,fgc08mbv
34M,10,0.1778,5001,393,0,0.0083983203359328,0.0017996400719856,0hkm43jj
34M,10,0.3162,5001,1668,0,0.0137972405518896,0.0087982403519296,uf3k227x
34M,10,0.5623,5001,2947,0,0.0155968806238752,0.0123975204959008,tvid4yig
34M,10,0.75,5001,2593,0,0.010997800439912,0.007998400319936,lyflkvl2
34M,10,0.93804187,5001,326,0,0.0147970405918816,0.0005998800239952,vxjxrr4b
34M,10,1.0,5001,83,0,0.0123975204959008,0.0003999200159968,h4453wxi
34M,10,1.29154967,5001,0,0,0.0233953209358128,0.0,69dsn9j5
34M,10,1.5,5001,0,0,0.0251949610077984,0.0,estw5m85
34M,32,0.0,5001,765,0,0.0163967206558688,0.0055988802239552,emz41aa6
34M,32,0.1,5001,1010,0,0.0181963607278544,0.0053989202159568,iw5o4z6d
34M,32,0.1778,5001,1391,0,0.0171965606878624,0.006998600279944,ixcjl30i
34M,32,0.3162,5001,2401,0,0.0171965606878624,0.0097980403919216,jej7ir2b
34M,32,0.5623,5001,3767,0,0.0167966406718656,0.0133973205358928,5zy26sz9
34M,32,0.75,5001,2985,0,0.0127974405118976,0.0083983203359328,8obo5qaf
34M,32,0.93804187,5001,672,0,0.0113977204559088,0.000999800039992,nxtg9nid
34M,32,1.0,5001,116,0,0.0145970805838832,0.0,edbiu8zr
34M,32,1.29154967,5001,0,0,0.018996200759848,0.0,0z511j8a
34M,32,1.5,5001,0,0,0.0,0.0,w16q2gvs
34M,100,0.0,5001,4416,0,0.0193961207758448,0.016996600679864,1w9evxo2
34M,100,0.1,5001,4432,0,0.0197960407918416,0.018996200759848,uit3vsq5
34M,100,0.1778,5001,4476,0,0.0195960807838432,0.0187962407518496,lned69ky
34M,100,0.3162,5001,4572,0,0.0147970405918816,0.012997400519896,qavpoa01
34M,100,0.5623,5001,4608,0,0.01499700059988,0.0145970805838832,lsxni8vc
34M,100,0.75,5001,4144,0,0.0135972805438912,0.010997800439912,qu6slup9
34M,100,0.93804187,5001,755,0,0.0121975604879024,0.0025994801039792,uyzjvhv3
34M,100,1.0,5001,92,0,0.0117976404719056,0.0,xn6avuhw
34M,100,1.29154967,5001,0,0,0.016996600679864,0.0,ofor5inu
34M,100,1.5,5001,0,0,0.0001999600079984,0.0,8iuegnmy
34M,316,0.0,5001,4694,0,0.0731853629274145,0.0721855628874225,ouadu6fe
34M,316,0.1,5001,4689,0,0.0729854029194161,0.0719856028794241,fgnv2i5o
34M,316,0.1778,5001,4714,0,0.0649870025994801,0.0633873225354929,fewwa4xj
34M,316,0.3162,5001,4695,0,0.0527894421115776,0.0513897220555888,2dtnmfnp
34M,316,0.5623,5001,4653,0,0.032993401319736,0.0315936812637472,4skx9q3a
34M,316,0.75,5001,4399,0,0.0201959608078384,0.0177964407118576,behsyqjs
34M,316,0.93804187,5001,1300,0,0.0081983603279344,0.0017996400719856,dca4dd9y
34M,316,1.0,5001,253,0,0.0101979604079184,0.000999800039992,lc4ldc0k
34M,316,1.29154967,5001,0,0,0.0257948410317936,0.0,jaxzpum8
34M,316,1.5,5001,0,0,0.0253949210157968,0.0,h8kfkkwe
62M,0,0.0,5001,0,0,0.0125974805038992,0.0,w7lc21qi
62M,0,0.1,5001,0,0,0.0145970805838832,0.0,vazqzdc6
62M,0,0.1778,5001,0,0,0.0155968806238752,0.0,cotkdr1d
62M,0,0.3162,5001,0,0,0.0173965206958608,0.0,tqj20m96
62M,0,0.5623,5001,0,0,0.008998200359928,0.0,ze5nnxjy
62M,0,0.75,5001,0,0,0.008998200359928,0.0,tkxk74nu
62M,0,0.93804187,5001,0,0,0.0087982403519296,0.0,o1t1j3iz
62M,0,1.0,5001,0,0,0.0123975204959008,0.0,qi1nx0ob
62M,0,1.29154967,5001,0,0,0.0121975604879024,0.0,0duu92lb
62M,0,1.5,5001,0,0,0.0225954809038192,0.0,v2s5jw94
62M,1,0.0,5001,10,0,0.0087982403519296,0.0001999600079984,q3hu7tjb
62M,1,0.1,5001,5,0,0.006998600279944,0.0,blmuyzmf
62M,1,0.1778,5001,10,0,0.0071985602879424,0.0,vbjclhh4
62M,1,0.3162,5001,122,0,0.008998200359928,0.0011997600479904,lk01qirr
62M,1,0.5623,5001,757,0,0.0115976804639072,0.003999200159968,uyznhtit
62M,1,0.75,5001,905,0,0.0095980803839232,0.0023995200959808,7tnhvy08
62M,1,0.93804187,5001,238,0,0.0103979204159168,0.0003999200159968,56ws3xh4
62M,1,1.0,5001,143,0,0.0133973205358928,0.0001999600079984,orx13ffu
62M,1,1.29154967,5001,0,0,0.008998200359928,0.0,khgeffon
62M,1,1.5,5001,0,0,0.0249950009998,0.0,iigr5d80
62M,3,0.0,5001,240,0,0.0147970405918816,0.0007998400319936,rbcd517k
62M,3,0.1,5001,183,0,0.0143971205758848,0.0013997200559888,qr4tzfw2
62M,3,0.1778,5001,144,0,0.0137972405518896,0.0011997600479904,hc1s3i2w
62M,3,0.3162,5001,281,0,0.0133973205358928,0.0013997200559888,glduk1ic
62M,3,0.5623,5001,1944,0,0.0147970405918816,0.007998400319936,v9hosq41
62M,3,0.75,5001,2514,0,0.0107978404319136,0.0077984403119376,tsli3edk
62M,3,0.93804187,5001,1213,0,0.0093981203759248,0.001999600079984,jcks6jbc
62M,3,1.0,5001,841,0,0.0141971605678864,0.0003999200159968,75i9ojta
62M,3,1.29154967,5001,0,0,0.0145970805838832,0.0,j1od8w2r
