Parameters,Num. Replicas,Temp.,math_verify_score,run_id
344M,10,0.5623,0.018196360727854428,9tztb4un
344M,10,0.75,0.015396920615876825,12wq7zs5
344M,10,0.938,0.012997400519896021,tcr3l4if
344M,10,1.0,0.010397920415916816,htqkzwmo
344M,10,1.2915,0.016796640671865627,ow18j4fo
344M,10,1.5,0.02499500099980004,i2yoj0h2
344M,32,0.0,0.1271745650869826,d3usgogz
344M,32,0.1,0.1261747650469906,m2dgryns
344M,32,0.1778,0.1247750449910018,v4o340vw
344M,32,0.3162,0.10277944411117776,a0gga04t
344M,32,0.5623,0.0647870425914817,ip93o04i
344M,32,0.75,0.042191561687662464,mgd1crfw
344M,32,0.938,0.026194761047790442,pqhawod4
344M,32,1.0,0.019396120775844832,n6l0yo5p
344M,32,1.2915,0.017196560687862426,gka4n8sa
344M,32,1.5,0.023395320935812838,qtfz3s6x
344M,100,0.0,0.9912017596480703,k7crfmph
344M,100,0.1,0.9914017196560688,iec1lb1j
344M,100,0.1778,0.991001799640072,os2d152i
344M,100,0.3162,0.9818036392721455,jtp6prqu
344M,100,0.5623,0.8552289542091581,l2mcf5kh
344M,100,0.75,0.5932813437312537,4h77m65h
344M,100,0.938,0.2709458108378324,x9d18wlj
344M,100,1.0,0.17876424715056988,tdr02xlh
344M,100,1.2915,0.02519496100779844,uecx1q3g
344M,100,1.5,0.020995800839832032,i2vldcuw
344M,1000,0.0,1.0,uq8sunma
344M,1000,0.1,1.0,14vb1d0i
344M,1000,0.1778,1.0,etzqqf0k
344M,1000,0.3162,1.0,ql66rbol
344M,1000,0.5623,0.9996000799840032,m3q6x76u
344M,1000,0.75,0.9898020395920816,mjr0gv6d
344M,1000,0.938,0.873625274945011,j5orif9w
344M,1000,1.0,0.727254549090182,o08xuzrk
344M,1000,1.2915,0.041791641671665665,nf68ztl5
344M,1000,1.5,0.01999600079984003,eh3e9865
344M,3162,0.0,1.0,1yml0np5
344M,3162,0.1,1.0,dh8hn3as
344M,3162,0.1778,1.0,nkcoi5dy
344M,3162,0.3162,1.0,ki9k0ipd
344M,3162,0.5623,1.0,10zpmtfd
344M,3162,0.75,0.9984003199360127,jzv224tb
344M,3162,0.938,0.9082183563287343,r9j1ynh5
344M,3162,1.0,0.669866026794641,bvl778i1
344M,3162,1.2915,0.01999600079984003,4l19ixio
344M,3162,1.5,0.01199760047990402,kl6n601r
344M,1,0.0,0.012997400519896021,2qi0kpg7
