Parameters,Num. Replicas,Temp.,math_verify_score,run_id,greedy_score,relative_score,baseline_score,advantage
93M,10,0.1,0.0157968406318736,hlm65jnr,0.0175964807038592,,0.0075984803039392,0.008198360327934402
93M,10,0.1778,0.0173965206958608,ala9d8qk,0.0175964807038592,,0.0115976804639072,0.005798840231953602
93M,10,0.3162,0.0171965606878624,424bozwb,0.0175964807038592,,0.0117976404719056,0.005398920215956799
93M,10,0.5623,0.0177964407118576,g5hln02e,0.0175964807038592,,0.0077984403119376,0.00999800039992
93M,10,1.0,0.010997800439912,sd3gq03o,0.0175964807038592,,0.011997600479904,-0.0009998000399920014
93M,32,0.0,0.0253949210157968,1vkk44fb,0.0253949210157968,,0.0073985202959408,0.017996400719855997
93M,32,0.1,0.0215956808638272,tigkonh4,0.0253949210157968,,0.0075984803039392,0.013997200559888
93M,32,0.1778,0.0203959208158368,vf6yw8ki,0.0253949210157968,,0.0115976804639072,0.008798240351929599
93M,32,0.3162,0.0201959608078384,v7ioisyg,0.0253949210157968,,0.0117976404719056,0.0083983203359328
93M,32,0.5623,0.0215956808638272,88ulzch2,0.0253949210157968,,0.0077984403119376,0.013797240551889599
93M,32,1.0,0.0133973205358928,o76qq9e6,0.0253949210157968,,0.011997600479904,0.0013997200559887988
93M,100,0.0,0.3729254149170166,7d18qqks,0.3729254149170166,1.0,0.0073985202959408,0.3655268946210758
93M,100,0.1,0.3723255348930214,azge81iw,0.3729254149170166,0.9983914209115282,0.0075984803039392,0.36472705458908217
93M,100,0.1778,0.3639272145570886,1pxwsyyg,0.3729254149170166,0.9758713136729223,0.0115976804639072,0.3523295340931814
93M,100,0.3162,0.3341331733653269,k64oys9m,0.3729254149170166,0.8959785522788203,0.0117976404719056,0.32233553289342126
93M,100,0.5623,0.2323535292941411,oh0oymll,0.3729254149170166,0.6230563002680963,0.0077984403119376,0.2245550889822035
93M,100,1.0,0.018996200759848,8fssvfve,0.3729254149170166,0.050938337801608495,0.011997600479904,0.0069986002799439975
93M,316,0.0,0.9872025594881024,5sd4yg0z,0.9872025594881024,1.0,0.0073985202959408,0.9798040391921616
93M,316,0.1,0.9872025594881024,574rg7im,0.9872025594881024,1.0,0.0075984803039392,0.9796040791841633
93M,316,0.1778,0.9866026794641072,6ebhvjnj,0.9872025594881024,0.9993923435284585,0.0115976804639072,0.9750049990002
93M,316,0.3162,0.9846030793841232,pp0390fr,0.9872025594881024,0.9973668219566538,0.0117976404719056,0.9728054389122176
93M,316,0.5623,0.9348130373925216,xg6lpjjr,0.9872025594881024,0.9469313348187159,0.0077984403119376,0.9270145970805841
93M,316,1.0,0.0627874425114977,tkx76fik,0.9872025594881024,0.06360137735466882,0.011997600479904,0.0507898420315937
93M,1000,0.0,0.9994001199760048,yy0kmcsk,0.9994001199760048,1.0,0.0073985202959408,0.992001599680064
93M,1000,0.1,0.9994001199760048,72inevww,0.9994001199760048,1.0,0.0075984803039392,0.9918016396720656
93M,1000,0.1778,0.9994001199760048,kugdpq3e,0.9994001199760048,1.0,0.0115976804639072,0.9878024395120976
93M,1000,0.3162,0.9994001199760048,xojrkbd4,0.9994001199760048,1.0,0.0117976404719056,0.9876024795040992
93M,1000,0.5623,0.9964007198560288,qfortmri,0.9994001199760048,0.9969987995198081,0.0077984403119376,0.9886022795440913
