run_id,problem_id,Parameters,Num. Parameters,Num. MATH Test Set Replicas,Stage,Per-Problem Mean NLL
3bj3ojqn,log_prob_token_171,153M,153000000.0,10,Post-SFT,1.6377247516937719
3bj3ojqn,log_prob_token_172,153M,153000000.0,10,Post-SFT,1.5841110431222578
3bj3ojqn,log_prob_token_173,153M,153000000.0,10,Post-SFT,1.6341021292753186
3bj3ojqn,log_prob_token_174,153M,153000000.0,10,Post-SFT,1.6099209428512573
3bj3ojqn,log_prob_token_175,153M,153000000.0,10,Post-SFT,1.6091343676838636
3bj3ojqn,log_prob_token_176,153M,153000000.0,10,Post-SFT,1.710556192890244
3bj3ojqn,log_prob_token_177,153M,153000000.0,10,Post-SFT,1.6742614276562326
3bj3ojqn,log_prob_token_178,153M,153000000.0,10,Post-SFT,1.655299460685124
3bj3ojqn,log_prob_token_179,153M,153000000.0,10,Post-SFT,1.688214806550614
3bj3ojqn,log_prob_token_180,153M,153000000.0,10,Post-SFT,1.7476018199959265
3bj3ojqn,log_prob_token_181,153M,153000000.0,10,Post-SFT,1.740920888580382
3bj3ojqn,log_prob_token_182,153M,153000000.0,10,Post-SFT,1.7520032479207772
3bj3ojqn,log_prob_token_183,153M,153000000.0,10,Post-SFT,1.7432994920819787
3bj3ojqn,log_prob_token_184,153M,153000000.0,10,Post-SFT,1.6532955756143042
3bj3ojqn,log_prob_token_185,153M,153000000.0,10,Post-SFT,1.7466227977054247
3bj3ojqn,log_prob_token_186,153M,153000000.0,10,Post-SFT,1.6966145681857152
3bj3ojqn,log_prob_token_187,153M,153000000.0,10,Post-SFT,1.58724430636402
3bj3ojqn,log_prob_token_188,153M,153000000.0,10,Post-SFT,1.6185537186290546
3bj3ojqn,log_prob_token_189,153M,153000000.0,10,Post-SFT,1.5858118116742541
3bj3ojqn,log_prob_token_190,153M,153000000.0,10,Post-SFT,1.6214769778928186
3bj3ojqn,log_prob_token_191,153M,153000000.0,10,Post-SFT,1.6083712518890692
3bj3ojqn,log_prob_token_192,153M,153000000.0,10,Post-SFT,1.6421036398955975
3bj3ojqn,log_prob_token_193,153M,153000000.0,10,Post-SFT,1.670512707410969
3bj3ojqn,log_prob_token_194,153M,153000000.0,10,Post-SFT,1.6456873508658896
3bj3ojqn,log_prob_token_195,153M,153000000.0,10,Post-SFT,1.740296297100743
3bj3ojqn,log_prob_token_196,153M,153000000.0,10,Post-SFT,1.7287433940862968
3bj3ojqn,log_prob_token_197,153M,153000000.0,10,Post-SFT,1.6730561965597335
3bj3ojqn,log_prob_token_198,153M,153000000.0,10,Post-SFT,1.6436606301124506
3bj3ojqn,log_prob_token_199,153M,153000000.0,10,Post-SFT,1.6143172238828194
3bj3ojqn,log_prob_token_200,153M,153000000.0,10,Post-SFT,1.8114370572204723
3bj3ojqn,log_prob_token_201,153M,153000000.0,10,Post-SFT,1.7662125146440313
3bj3ojqn,log_prob_token_202,153M,153000000.0,10,Post-SFT,1.825944842651013
3bj3ojqn,log_prob_token_203,153M,153000000.0,10,Post-SFT,1.690461340808807
3bj3ojqn,log_prob_token_204,153M,153000000.0,10,Post-SFT,1.7834838064609733
